Name of School,Address,Town,Latitude,Longitude,Category of School,Private or Public (GES Schools),Region,District,Circuit,First Name,Last Name,Contact Number,Contact Email,Number of Classrooms,Boarding Facilities?,Sanitary Facilities?,Science or Teachnical Laboratory?,Assembly Hall?,Library Facilities?,Dining Facilities?,School Bus?,Sporting Facilities?,Staff Accommodation?,Description
ASUOSO COMM. SENIOR HIGH SCHOOL,,ASUOSO,"7?15'31.6""N","1?48'54.2""W",SHS,Public,ASHANTI,OFFINSO NORTH,,,,+233 24 566 6306,asuosocommshs@ges.gov.gh,,NO,,,,,,,,,
NSUTAMAN CATH. SENIOR HIGH SCHOOL,,NSUTA,"7?00'54.6""N","1?23'29.5""W",SHS,Public,ASHANTI,SEKYERE CENTRAL,,,,+233 24 308 2760,nsutamancathshs@ges.gov.gh,,YES,,,,,,,,,
GHANA MUSLIM MISSION SENIOR HIGH SCHOOL,,BEPOSO,"6?59'46.6""N","1?22'07.3""W",SHS,Public,ASHANTI,SEKYERE CENTRAL,,,,+233 24 497 3688,ghanamuslimmissionshs@ges.gov.gh,,YES,,,,,,,,,
"PRESBY SENIOR HIGH/TECH SCHOOL, KWAMANG",,KWAMANG,"6?58'16.7""N","1?16'24.1""W",SHS,Public,ASHANTI,SEKYERE CENTRAL,,,,+233 24 414 9976,presbykwamangshst@ges.gov.gh,,YES,,,,,,,,,
TIJJANIYA SENIOR HIGH SCHOOL,,ASOKORE,"6?51'31.0""N","1?22'50.7""W",SHS,Public,ASHANTI,SEKYERE EAST,,,,027 446 2941,tijjaniyashs@ges.gov.gh,,YES,,,,,,,,,
"T. I. AHMADIYYA GIRL'S SENIOR HIGH SCHOOL,
ASOKORE",,ASOKORE,"6?51'10.0""N","1?23'04.4""W",SHS,Public,ASHANTI,SEKYERE EAST,,,,024 325 9858,t.i.ahmadiyyagirlsshs@ges.gov.gh,,YES,,,,,,,,,
KROBEA ASANTE TECH/VOC SCHOOL,,ASOKORE,"6?51'25.4""N","˜1?22'30.6""W",TVET,Public,ASHANTI,SEKYERE EAST,,,,+233 24 402 9845,krobeaasantetechvoc@ges.gov.gh,,YES,,,,,,,,,
EFFIDUASE SENIOR HIGH/COM SCHOOL,,EFFIDUASE,"6?50'43.1""N","1?23'22.6""W",SHS,Public,ASHANTI,SEKYERE EAST,,,,+233 24 374 5349,effiduaseshst@ges.gov.gh,,YES,,,,,,,,,
EFFIDUASE SENIOR HIGH/TECH SCHOOL,,AKYAWKROM,"6?52'42.4""N˜","1?24'12.9""W",SHS,Public,ASHANTI,SEKYERE EAST,,,,+233 24 401 7470,effiduaseshst@ges.gov.gh,,NO,,,,,,,,,
BANKOMAN SENIOR HIGH SCHOOL,,BANKO,"6?55'02.0""N","1?16'35.6""W",SHS,Public,ASHANTI,SEKYERE KUMAWU,,,,+233 244260724,bankomanshs@ges.gov.gh,,YES,,,,,,,,,
TWENEBOA KODUA SENIOR HIGH SCHOOL,,KUMAWU,"6?54'56.6""N","1?16'50.2""W",SHS,Public,ASHANTI,SEKYERE KUMAWU,,,,+233 20 627 4796,tweneboakoduashs@ges.gov.gh,,YES,,,,,,,,,
DADEASE AGRIC SENIOR HIGH SCHOOL,,DADEASE,"6?53'27.9""N","1?21'51.5""W",SHS,Public,ASHANTI,SEKYERE KUMAWU,,,,+233 24 862 2579,dadeaseagricshs@ges.gov.gh,,YES,,,,,,,,,
BODOMASE SENIOR HIGH/TECH SCHOOL,,BODOMASE,"6?53'45.8""N","1?14'49.5""W",SHS,Public,ASHANTI,SEKYERE KUMAWU,,,,+233 24 412 2667,bodomaseshst@ges.gov.gh,,NO,,,,,,,,,
OKOMFO ANOKYE SENIOR HIGH SCHOOL,,WIAMOASE,"7?03'30.7""N","1?30'37.2""W",SHS,Public,ASHANTI,SEKYERE SOUTH,,,,+233 55 936 3609,okomfoanokyeshs@ges.gov.gh,,YES,,,,,,,,,
ADU GYAMFI SENIOR HIGH SCHOOL,,JAMASI,"6?58'25.3""N","1?28'10.6""W",SHS,Public,ASHANTI,SEKYERE SOUTH,,,,+233 20 878 8556,adugyamfishs@ges.gov.gh,,YES,,,,,,,,,
"S.D.A. SENIOR HIGH SCHOOL, AGONA",,AGONA,"6?57'58.7""N","1?30'47.4""W",SHS,Public,ASHANTI,SEKYERE SOUTH,,,,024 496 2984,sdaagonashs@ges.gov.gh,,YES,,,,,,,,,
AGONA SENIOR HIGH/TECH SCHOOL,,AGONA,"6?56'16.3""N","1?29'37.1""W",SHS,Public,ASHANTI,SEKYERE SOUTH,,,,˜0302 209 6498,agonashst@ges.gov.gh,,YES,,,,,,,,,
KONADU YIADOM CATHOLIC SENIOR HIGH SCHOOL,,ASAMANG,"6?54'19.3""N","1?26'29.0""W",SHS,Public,ASHANTI,SEKYERE SOUTH,,,,+233 54 507 4632,konaduyiadomcatholicshs@ges.gov.gh,,YES,,,,,,,,,
BANDAMAN SENIOR HIGH SCHOOL,,"BANDA
AHENKRO","8?10'17.5""N","2?21'24.3""W",SHS,Public,BONO,BANDA,,,,+233 54 614 8216,bandamanshs@ges.gov.gh,,YES,,,,,,,,,
BEREKUM PRESBY SENIOR HIGH SCHOOL,,BEREKUM,"7?27'50.2""N","˜2?34'33.5""W",SHS,Public,BONO,BEREKUM-MUNICIPAL,,,,+233 208 194 506,presbyberekumshs@ges.gov.gh,,YES,,,,,,,,,
BEREKUM SENIOR HIGH SCHOOL,,BEREKUM,"7?26'21.2""N˜","˜2?34'30.2""W",SHS,Public,BONO,BEREKUM-MUNICIPAL,,,,+233 20 140 3356˜,berekumshs@ges.gov.gh,,YES,,,,,,,,,
JINIJINI SENIOR HIGH SCHOOL,,JINIJINI,"7?27'12.2""N","2?39'30.7""W",SHS,Public,BONO,BEREKUM-MUNICIPAL,,,,050 876 0858,jinijinishs@ges.gov.gh,,YES,,,,,,,,,
"ST. AUGUSTINE SENIOR HIGH SCHOOL, NSAPOR-
BEREKUM",,"NSAPOR-
BEREKUM","5?37'57.2""N","1?59'40.5""W",SHS,Public,BONO,BEREKUM-MUNICIPAL,,,,024 070 7940,st.augustineberekumshs@ges.gov.gh,,NO,,,,,,,,,
"METHODIST SENIOR HIGH/TECH SCHOOL,BIADAN",,BIADAN,"7?25'15.1""N","2?35'31.8""W",SHS,Public,BONO,BEREKUM-MUNICIPAL,,,,024 473 9868,methodistbiadanshst@ges.gov.gh,,YES,,,,,,,,,
DORMAA SENIOR HIGH SCHOOL,,"DORMAA
AHENKRO","7?16'37.5""N","2?51'40.1""W",SHS,Public,BONO,"DORMAA CENTRAL
MUNICIPAL",,,,+233 24 330 4367,dormaashs@ges.gov.gh,,YES,,,,,,,,,
"SALVATION ARMY SENIOR HIGH SCHOOL, ABOABO
DORMAA",,"ABOABO-
DORMAA","7?12'52.9""N","2?48'33.7""W",SHS,Public,BONO,"DORMAA CENTRAL
MUNICIPAL",,,,+233 24 591 1110,salvationarmydormaashs@ges.gov.gh,,YES,,,,,,,,,
MANSEN SENIOR HIGH SCHOOL,,WAMFIE,"7?17'42.9""N","2?42'11.7""W",SHS,Public,BONO,DORMAA EAST,,,,+233 24 238 5718,mansenshs@ges.gov.gh,,YES,,,,,,,,,
WAMANAFO SENIOR HIGH/TECH SCHOOL,,WAMANAFO,"7?16'33.9""N","2?42'53.9""W",SHS,Public,BONO,DORMAA EAST,,,,+233 24 324 5240,wamanafoshst@ges.gov.gh,,YES,,,,,,,,,
NKRANKWANTA COMM SENIOR HIGH SCHOOL,,NKRANKWANTA,"7?00'35.1""N","3?02'39.7""W",SHS,Public,BONO,DORMAA WEST,,,,+233 20 823 4684,nkrankwantacommshs@ges.gov.gh,,YES,,,,,,,,,
"ST. ANN'S GIRLS SENIOR HIGH SCHOOL, SAMPA",,SAMPA,"7?57'53.6""N","2?41'51.1""W",SHS,Public,BONO,JAMAN NORTH,,,,˜055 306 1070,st.annsgirlsshs@ges.gov.gh,,NO,,,,,,,,,
NAFANA SENIOR HIGH SCHOOL,,SAMPA,"7?56'45.4""N","2?41'33.1""W",SHS,Public,BONO,JAMAN NORTH,,,,027 013 2537,nafanashs@ges.gov.gh,,YES,,,,,,,,,
SUMAMAN SENIOR HIGH SCHOOL,,SUMA-AHENKRO,"7?55'23.1""N","2?42'59.4""W",SHS,Public,BONO,JAMAN NORTH,,,,+233 20 817 4233,sumamanshs@ges.gov.gh,,YES,,,,,,,,,
DIAMONO SENIOR HIGH SCHOOL,,DUADASO NO.2,"7?45'29.5""N","2?38'55.6""W",SHS,Public,BONO,JAMAN NORTH,,,,054 946 6625,diamonoshs@ges.gov.gh,,NO,,,,,,,,,
GOKA SENIOR HIGH/TECH SCHOOL,,GOKA,"7?45'29.5""N","2?38'55.6""W",SHS,Public,BONO,JAMAN NORTH,,,,˜035 219 6712,gokashst@ges.gov.gh,,YES,,,,,,,,,
DUADASO NO. 1 SENIOR HIGH/TECH SCHOOL,,DUADASO,"7?54'25.5""N","2?38'38.6""W",SHS,Public,BONO,JAMAN NORTH,,,,024 390 2838,duadasono.1shs@ges.gov.gh,,NO,,,,,,,,,
DROBO SENIOR HIGH SCHOOL,,DROBO,"7?35'37.2""N","2?47'09.0""W",SHS,Public,BONO,JAMAN SOUTH,,,,540231505,droboshs@ges.gov.gh,,YES,,,,,,,,,
OUR LADY OF PROVIDENCE SENIOR HIGH SCHOOL,,"KWASI
BUOKROM","7?35'12.2""N","2?47'23.8""W",SHS,Public,BONO,JAMAN SOUTH,,,,020 266 0329,ourladyofprovidenceshs@ges.gov.gh,,YES,,,,,,,,,
"S.D.A SENIOR HIGH SCHOOL, SUNYANI",,SUNYANI,"7?20'42.3""N","2?20'38.5""W",SHS,Public,BONO,SUNYANI MUNICIPAL,,,,209383127,sdasunyanishs@ges.gov.gh,,NO,,,,,,,,,
TWENE AMANFO SENIOR HIGH/TECH SCHOOL,,SUNYANI,"7?20'06.8""N","2?19'25.3""W",SHS,Public,BONO,SUNYANI MUNICIPAL,,,,020 280 3347,tweneamanfoshst@ges.gov.gh,,NO,,,,,,,,,
SUNYANI METHODIST TECHNICAL INST.,,SUNYANI,"7?19'54.2""N","2?20'27.8""W",SHS,Public,BONO,SUNYANI MUNICIPAL,,,,020 781 3728,sunyanimethodisttechinst@ges.gov.gh,,YES,,,,,,,,,
"ST. JAMES SEM & SENIOR HIGH SCHOOL, ABESIM",,ABESIM,"7?17'46.0""N","2?17'24.6""W",SHS,Public,BONO,SUNYANI MUNICIPAL,,,,026 661 8254,st.jamessemshs@ges.gov.gh,,YES,,,,,,,,,
SUNYANI SENIOR HIGH SCHOOL,,SUNYANI,"7?19'05.6""N","2?18'38.3""W",SHS,Public,BONO,SUNYANI MUNICIPAL,,,,˜050 871 9396,sunyanishs@ges.gov.gh,,YES,,,,,,,,,
"SACRED HEART SENIOR HIGH SCHOOL, NSOATRE",,NSOATRE,"7?24'40.6""N","2?28'36.5""W",SHS,Public,BONO,SUNYANI WEST,,,,059 626 4804,sacredheartshs@ges.gov.gh,,YES,,,,,,,,,
CHIRAA SENIOR HIGH SCHOOL,,CHIRAA,"7?23'23.4""N","2?11'15.9""W",SHS,Public,BONO,SUNYANI WEST,,,,024 331 8850,chiraashs@ges.gov.gh,,YES,,,,,,,,,
ODOMASEMAN SENIOR HIGH SCHOOL,,ODOMASE,"7?22'48.7""N","2?18'51.1""W",SHS,Public,BONO,SUNYANI WEST,,,,˜024 996 7708,odomasemanshs@ges.gov.gh,,YES,,,,,,,,,
DON BOSCO VOC./TECH. INST.,,ODUMASI,"7?22'10.0""N","2?19'09.1""W",SHS,Public,BONO,SUNYANI WEST,,,,028 910 0606,donboscotechvocinst@ges.gov.gh,,NO,,,,,,,,,
"NOTRE DAME GIRLS SENIOR HIGH SCHOOL,
SUNYANI",,SUNYANI,"7?21'37.3""N","2?21'23.3""W",SHS,Public,BONO,SUNYANI WEST,,,,˜054 389 3653,notredamegirlsshs@ges.gov.gh,,YES,,,,,,,,,
MENJI SENIOR HIGH SCHOOL,,MENJI,"7?55'25.7""N˜","2?22'35.8""W",SHS,Public,BONO,TAIN,,,,024 642 8917,menjishs@ges.gov.gh,,NO,,,,,,,,,
NSAWKAW STATE SENIOR HIGH SCHOOL,,NSAWKAW,"7?52'27.6""N˜","2?18'35.8""W",SHS,Public,BONO,TAIN,,,,˜024 622 7442,nsawkawstateshs@ges.gov.gh,,YES,,,,,,,,,
NKORANMAN SENIOR HIGH SCHOOL,,SEIKWA,"7?43'46.9""N","2?31'07.9""W",SHS,Public,BONO,TAIN,,,,˜020 847 4988,nkoranmanshs@ges.gov.gh,,YES,,,,,,,,,
BADU SENIOR HIGH/TECH SCHOOL,,BADU/WENCHI,"7?41'23.1""N","2?13'51.7""W",SHS,Public,BONO,TAIN,,,,020 823 7325,badushst@ges.gov.gh,,YES,,,,,,,,,
NKYERAA SENIOR HIGH SCHOOL,,NCHIRAA,"7?52'51.2""N","1?59'08.5""W",SHS,Public,BONO,WENCHI MUNICIPAL,,,,244118981,nkyeraashs@ges.gov.gh,,NO,,,,,,,,,
WENCHI METH. SENIOR HIGH SCHOOL,,WENCHI,"7?45'10.7""N","2?06'10.4""W",SHS,Public,BONO,WENCHI MUNICIPAL,,,,+233 54 799 2708,wenchimethshs@ges.gov.gh,,YES,,,,,,,,,
KOASE SENIOR HIGH/TECH SCHOOL,,KOASE/WENCHI,"7?40'40.6""N","2?06'25.3""W",SHS,Public,BONO,WENCHI MUNICIPAL,,,,˜055 475 3950,koaseshst@ges.gov.gh,,YES,,,,,,,,,
ISTIQUAAMA SENIOR HIGH SCHOOL,,WENCHI,"7?39'48.6""N","2?05'54.6""W",SHS,Public,BONO,WENCHI MUNICIPAL,,,,+233 20 850 4586,istiquaamashs@ges.gov.gh,,YES,,,,,,,,,
ATEBUBU SENIOR HIGH SCHOOL,,ATEBUBU,"7?44'46.0""N","0?58'15.5""W",SHS,Public,BONO EAST,ATEBUBU-AMANTIN,,,,+233 24 753 3028,atebubushs@ges.gov.gh,,YES,,,,,,,,,
NEW KROKOMPE COMM. SENIOR HIGH SCHOOL,,"NEW
KONKROMPE","7?44'42.3""N","0?58'13.1""W",SHS,Public,BONO EAST,ATEBUBU-AMANTIN,,,,+233 24 215 2364,newkrokompecommshs@ges.gov.gh,,YES,,,,,,,,,
AMANTEN SENIOR HIGH SCHOOL,,AMANTEN,"7?32'53.5""N","1?12'18.4""W",SHS,Public,BONO EAST,ATEBUBU-AMANTIN,,,,054 272 7017,amantenshs@ges.gov.gh,,YES,,,,,,,,,
"NEW LONGORO COMM SENIOR HIGH SCHOOL
(DEGA)",,NEW LONGORO,"8?08'42.6""N","2?01'41.1""W",SHS,Public,BONO EAST,KINTAMPO NORTH,,,,+233 50 309 6751,newlongorocommshs@ges.gov.gh,,NO,,,,,,,,,
KINTAMPO SENIOR HIGH SCHOOL,,KINTAMPO,"8?03'38.3""N","1?43'29.3""W",SHS,Public,BONO EAST,"KINTAMPO NORTH
MUNICIPAL",,,,+233 24 3537564,kintamposhs@ges.gov.gh,,YES,,,,,,,,,
JEMA SENIOR HIGH SCHOOL,,JEMA,"7?54'37.5""N","1?45'54.9""W",SHS,Public,BONO EAST,KINTAMPO SOUTH,,,,+233 35 202 8607,jemashs@ges.gov.gh,,YES,,,,,,,,,
NKORANZA TECH INST.,,NKORANZA,"7?33'54.3""N","1?43'05.9""W",SHS,Public,BONO EAST,NKORANZA,,,,+233 24 443 7294,nkoranzatechinst@ges.gov.gh,,YES,,,,,,,,,
OSEI BONSU SENIOR HIGH SCHOOL,,YEFRI,"7?41'33.8""N","1?44'31.7""W",SHS,Public,BONO EAST,NKORANZA NORTH,,,,+233 20 863 6191,oseibonsushs@ges.gov.gh,,YES,,,,,,,,,
BUSUNYA SENIOR HIGH SCHOOL,,BUSUNYA,"7?41'36.7""N","1?40'05.7""W",SHS,Public,BONO EAST,NKORANZA NORTH,,,,+233 24 366 8281,busunyashs@ges.gov.gh,,YES,,,,,,,,,
KWABRE SENIOR HIGH SCHOOL,,AKUMA,"7?29'19.5""N","1?42'38.2""W",SHS,Public,BONO EAST,NKORANZA SOUTH,,,,233 20 822 9195,kwabreshs@ges.gov.gh,,YES,,,,,,,,,
NKORANZA SENIOR HIGH/TECH SCHOOL,,NKORANZA,7.483416144,-1.722246288,SHS,Public,BONO EAST,NKORANZA SOUTH,,,,502221399,nkoranzashst@ges.gov.gh,,YES,,,,,,,,,
YEJI SENIOR HIGH/TECH SCHOOL,,YEJI,7.555727788,-1.713755212,SHS,Public,BONO EAST,PRU,,,,540752358,yejishst@ges.gov.gh,,YES,,,,,,,,,
PRANG SENIOR HIGH,,PRANG,8.220339023,-0.650602669,SHS,Public,BONO EAST,PRU,,,,+233 54 799 2708,prangshs@ges.gov.gh,,YES,,,,,,,,,
ABEASEMAN COMM. DAY SENIOR HIGH SCHOOL,,ABEASE,7.997951898,-0.883176285,SHS,Public,BONO EAST,PRU,,,,541315814,abeasemancommshs@ges.gov.gh,,NO,,,,,,,,,
BASSA COMMUNITY SENIOR HIGH SCHOOL,,BODINKA,7.957073603,-1.174877376,SHS,Public,BONO EAST,SENE EAST,,,,233 246977853,bassacommunityshs@ges.gov.gh,,NO,,,,,,,,,
KAJAJI SENIOR HIGH SCHOOL,,KAJAJI,"7?47'17.2""N","0?12'48.0""W",SHS,Public,BONO EAST,SENE EAST,,,,202730865,kajajishs@ges.gov.gh,,YES,,,,,,,,,
KWAME DANSO SENIOR HIGH/TECH SCHOOL,,KWAME DANSO,7.782350435,-0.212485961,SHS,Public,BONO EAST,SENE WEST,,,,248632471,kwamedansoshst@ges.gov.gh,,YES,,,,,,,,,
GYARKO COMM. DAY SENIOR HIGH SCHOOL,,TECHIMAN,7.734363832,-0.668610871,SHS,Public,BONO EAST,TECHIMAN MUNICIPAL,,,,+233 24 218 8838,gyarkocommshs@ges.gov.gh,,NO,,,,,,,,,
KESSE BASAHYIA SENIOR HIGH SCHOOL,,"TECHIMAN
OFORIKROM",7.587533797,-1.943853846,SHS,Public,BONO EAST,TECHIMAN MUNICIPAL,,,,˜0247883533,kessebasahyiashs@ges.gov.gh,,NO,,,,,,,,,
TECHIMAN SENIOR HIGH SCHOOL,,TECHIMAN,7.594843433,-1.864577161,SHS,Public,BONO EAST,TECHIMAN MUNICIPAL,,,,+233 24 643 9713,techimanshs@ges.gov.gh,,YES,,,,,,,,,
"OUR LADY OF MOUNT CARMEL GIRLS SENIOR HIGH
SCHOOL, TECHIMAN",,TECHIMAN,7.569728895,-1.937018363,SHS,Public,BONO EAST,TECHIMAN MUNICIPAL,,,,+233 24 481 6110,ourladyofmountcarmelgirlsshs@ges.gov.gh,,YES,,,,,,,,,
YEBOAH ASUAMAH SENIOR HIGH SCHOOL,,NSUTA,7.557842,-1.935861261,SHS,Public,BONO EAST,TECHIMAN MUNICIPAL,,,,+233 24 365 3287,yeboahasuamahshs@ges.gov.gh,,NO,,,,,,,,,
KWARTENG ANKOMAH SENIOR HIGH SCHOOL,,"TANOSO-
TECHMIAN",7.534504819,-2.077486203,SHS,Public,BONO EAST,TECHIMAN MUNICIPAL,,,,242188993,kwartengankomahshs@ges.gov.gh,,YES,,,,,,,,,
GUAKRO EFFAH SENIOR HIGH SCHOOL,,OFFUMAN,7.449164047,-1.9745499,SHS,Public,BONO EAST,TECHIMAN NORTH,,,,242357246,guakroeffahshs@ges.gov.gh,,NO,,,,,,,,,
"ST. FRANCIS SEMINARY/SENIOR HIGH SCHOOL,
BUOYEM",,BUOYEM,7.767129824,-2.000409961,SHS,Public,BONO EAST,TECHIMAN NORTH,,,,+233 20 906 9069,st.francisseminaryshs@ges.gov.gh,,YES,,,,,,,,,
TUOBODOM SENIOR HIGH/TECH SCHOOL,,TUOBODOM,7.665760487,-1.962198488,SHS,Public,BONO EAST,TECHIMAN NORTH,,,,+233 20 862 7025,tuobodomshst@ges.gov.gh,,YES,,,,,,,,,
AMEYAW AKUMFI SENIOR HIGH/TECH SCHOOL,,AWOROWA,7.65006454,-1.897525882,SHS,Public,BONO EAST,TECHIMAN NORTH,,,,244414038,ameyawakumfishst@ges.gov.gh,,YES,,,,,,,,,
KROBO COMM.SENIOR HIGH SCHOOL,,KROBO,7.619749942,-2.009422659,SHS,Public,BONO EAST,TECHIMAN NORTH,,,,+233 24 705 8656,krobocommshs@ges.gov.gh,,NO,,,,,,,,,
ABRAFI SENIOR HIGH SCHOOL,,TECHIMAN,7.603182461,-1.99321599,SHS,Public,BONO EAST,TANO NORTH,,,,+233 547593417,abrafishs@ges.gov.gh,,NO,,,,,,,,,
ASUANSI TECH. INST.,,ASUANSI,7.615458281,-1.964123617,TECH,Public,CENTRAL,ABURA/ASEBU/ KWAMAN,,,,244991448,asuansitechinst@ges.gov.gh,,YES,,,,,,,,,
ABURAMAN SENIOR HIGH SCHOOL,,ABURA DUNKWA,5.298675541,-1.262496019,SHS,Public,CENTRAL,"ABURA/ASEBU/
KWAMANKESE",,,,243737867,aburamanshs@ges.gov.gh,,YES,,,,,,,,,
ABAKRAMPA SENIOR HIGH/TECH SCHOOL,,ABAKRAMPA,5.338349754,-1.179624163,SHS,Public,CENTRAL,"ABURA/ASEBU/
KWAMANKESE",,,,+233 24 463 0133,abakrampashst@ges.gov.gh,,YES,,,,,,,,,
MOREE COMM. SENIOR HIGH SCHOOL,,MOREE,5.24688889,-1.231057274,SHS,Public,CENTRAL,"ABURA/ASEBU/
KWAMANKESE",,,,244845284,moreecommshs@ges.gov.gh,,NO,,,,,,,,,
AGGREY MEM. A.M.E.ZION SENIOR HIGH SCHOOL,,CAPE COAST,5.115355121,-1.245794829,SHS,Public,CENTRAL,"ABURA/ASEBU/
KWAMANKESE",,,,559672060,aggreymemamezionshs@ges.gov.gh,,YES,,,,,,,,,
NSABA PRESBY SENIOR HIGH SCHOOL,,NSABA,5.137323054,-1.22058223,SHS,Public,CENTRAL,AGONA EAST,,,,+233 20 566 6658,presbynsabashs@ges.gov.gh,,YES,,,,,,,,,
AGONA NAMONWORA COMM.SENIOR HIGH SCHOOL,,"AGONA
NAMONWORA",5.649385125,-0.749852627,SHS,Public,CENTRAL,AGONA EAST,,,,+233 24 950 2606,agonanamonworacommshs@ges.gov.gh,,NO,,,,,,,,,
KWANYAKO SENIOR HIGH SCHOOL,,KWANYAKO,5.639927557,-0.670766788,SHS,Public,CENTRAL,AGONA EAST,,,,558504719,kwanyakoshs@ges.gov.gh,,YES,,,,,,,,,
SWEDRU SENIOR HIGH SCHOOL,,SWEDRU,5.603721147,-0.634575403,SHS,Public,CENTRAL,AGONA EAST,,,,332191515,swedrushs@ges.gov.gh,,YES,,,,,,,,,
SIDDIQ SENIOR HIGH SCHOOL,,"AGONA
NYAKROM",5.541659127,-0.672429447,SHS,Public,CENTRAL,AGONA WEST MUNICIPAL,,,,+233 24 671 8911,siddiqshs@ges.gov.gh,,NO,,,,,,,,,
NYAKROM SENIOR HIGH TECH SCHOOL,,NYAKROM,5.612405763,-0.792062117,SHS,Public,CENTRAL,AGONA WEST MUNICIPAL,,,,267010267,nyakromshst@ges.gov.gh,,YES,,,,,,,,,
AGONA FANKOBAA SENIOR HIGH SCHOOL,,"AGONA
FANKOBAA",5.647366508,-0.753944588,SHS,Public,CENTRAL,AGONA WEST MUNICIPAL,,,,+233 24 387 9998,agonafankobaashs@ges.gov.gh,,NO,,,,,,,,,
SWEDRU SCH. OF BUSINESS,,SWEDRU,5.544543476,-0.836271274,SHS,Public,CENTRAL,AGONA WEST MUNICIPAL,,,,332020378,swedruschofbusiness@ges.gov.gh,,YES,,,,,,,,,
BISEASE SENIOR HIGH/COMM. SCHOOL,,BISEASE,5.528387617,-0.690099219,SHS,Public,CENTRAL,AJUMAKO/ ENYAN/ESIAM,,,,+233 24 288 8478,biseaseshscomshs@ges.gov.gh,,YES,,,,,,,,,
ENYAN DENKYIRA SENIOR HIGH SCHOOL,,DENKYIRA,5.452970602,-0.975047032,SHS,Public,CENTRAL,AJUMAKO/ ENYAN/ESIAM,,,,+233 24 713 9738,enyandenkyirashs@ges.gov.gh,,YES,,,,,,,,,
MANDO SENIOR HIGH/TECH SCHOOL,,MANDO,5.398687709,-0.983608247,SHS,Public,CENTRAL,AJUMAKO/ ENYAN/ESIAM,,,,249745677,mandoshst@ges.gov.gh,,YES,,,,,,,,,
ENYAN MAIM COMM. DAY SENIOR HIGH SCHOOL,,ENYAN MAIM,5.383120626,-0.930519461,SHS,Public,CENTRAL,AJUMAKO/ ENYAN/ESIAM,,,,+233 24 452 2626,enyanmaimcommshs@ges.gov.gh,,NO,,,,,,,,,
ENYAN-ABAASA TECHNICAL INSTITUTE,,ENYAN-ABAASA,5.313812054,-1.011017556,SHS,Public,CENTRAL,AJUMAKO/ENYAN /ESSIAM,,,,+233 24 275 8765,enyanabaasatechinst@ges.gov.gh,,YES,,,,,,,,,
BRAKWA SENIOR HIGH/TECH SCHOOL,,BRAKWA,5.362910943,-0.944193203,SHS,Public,CENTRAL,"ASIKUMA/ODOBEN/
BRAKWA",,,,+233 20 393 2334,brakwashst@ges.gov.gh,,YES,,,,,,,,,
ODOBEN SENIOR HIGH SCHOOL,,ODOBEN,5.702904214,-0.982153532,SHS,Public,CENTRAL,"ASIKUMA/ODOBEN/
BRAKWA",,,,249427833,odobenshs@ges.gov.gh,,YES,,,,,,,,,
BREMAN ASIKUMA SENIOR HIGH SCHOOL,,"BREMAN
ASIKUMA",5.640807426,-0.886042588,SHS,Public,CENTRAL,"ASIKUMA/ODOBEN/
BRAKWA",,,,201363691,bremanasikumashs@ges.gov.gh,,YES,,,,,,,,,
ASSIN NORTH SENIOR HIGH/TECH SCHOOL,,"ASSIN
ASEMPANEYE",5.592724007,-0.995923717,SHS,Public,CENTRAL,ASSIN NORTH MUNICIPAL,,,,243242337,assinnorthshst@ges.gov.gh,,YES,,,,,,,,,
ASSIN STATE COLLEGE,,ASSIN BEREKU,5.920281613,-1.358674619,SHS,Public,CENTRAL,ASSIN NORTH MUNICIPAL,,,,208829743,assinstateshs@ges.gov.gh,,YES,,,,,,,,,
GYAASE COMMUNITY SENIOR HIGH SCHOOL,,"ASSIN-
AKONFUDI",5.871789974,-1.343063061,SHS,Public,CENTRAL,ASSIN NORTH MUNICIPAL,,,,+233 24 475 4154,gyaasecommunityshs@ges.gov.gh,,NO,,,,,,,,,
OBIRI YEBOAH SENIOR HIGH/TECHNICAL SCHOOL,,ASSIN FOSU,5.821044867,-1.305289146,SHS,Public,CENTRAL,ASSIN NORTH MUNICIPAL,,,,554324028,obiriyeboahshst@ges.gov.gh,,YES,,,,,,,,,
ASSIN NSUTA SENIOR HIGH SCHOOL,,ASSIN NSUTA,5.708675713,-1.285730647,SHS,Public,CENTRAL,ASSIN SOUTH,,,,+233 24 498 2312,assinnsutaagricshs@ges.gov.gh,,YES,,,,,,,,,
ASSIN MANSO SENIOR HIGH SCHOOL,,ASSIN MANSO,5.616476949,-1.223945623,SHS,Public,CENTRAL,ASSIN SOUTH,,,,+233 24 452 2626,assinmansoshs@ges.gov.gh,,YES,,,,,,,,,
ADANKWAMAN SENIOR HIGH SCHOOL,,ASSIN DARMANG,5.524673202,-1.174604246,SHS,Public,CENTRAL,ASSIN SOUTH,,,,541385880,adankwamanshs@ges.gov.gh,,YES,,,,,,,,,
NYANKUMASE AHENKRO SENIOR HIGH SCHOOL,,"NYANKUMASE
AHENKRO",5.454826481,-1.161670573,SHS,Public,CENTRAL,ASSIN SOUTH,,,,+233 4294270,nyankumaseahenkroshs@ges.gov.gh,,YES,,,,,,,,,
BONTRASE SENIOR HIGH TECH. SCHOOL,,JEI KRODUA,5.378525447,-1.145291649,TECH,Public,CENTRAL,AWUTU SENYA,,,,+233 24 599 9381,bontraseshst@ges.gov.gh,,NO,,,,,,,,,
